Investment choice name,Date,Currency,NAV / unit
MIL Greater Bay Area Growth and Income Fund #,2021-07-26,USD,1.0000
MIL Greater Bay Area Growth and Income Fund #,2021-07-27,USD,1.0000
MIL Greater Bay Area Growth and Income Fund #,2021-07-28,USD,1.0000
MIL Greater Bay Area Growth and Income Fund #,2021-07-29,USD,1.0040
MIL Greater Bay Area Growth and Income Fund #,2021-07-30,USD,1.0040
MIL Greater Bay Area Growth and Income Fund #,2021-08-02,USD,1.0100
MIL Greater Bay Area Growth and Income Fund #,2021-08-03,USD,1.0100
MIL Greater Bay Area Growth and Income Fund #,2021-08-04,USD,1.0160
MIL Greater Bay Area Growth and Income Fund #,2021-08-05,USD,1.0090
MIL Greater Bay Area Growth and Income Fund #,2021-08-06,USD,1.0070
MIL Greater Bay Area Growth and Income Fund #,2021-08-09,USD,1.0080
MIL Greater Bay Area Growth and Income Fund #,2021-08-10,USD,1.0150
MIL Greater Bay Area Growth and Income Fund #,2021-08-11,USD,1.0180
MIL Greater Bay Area Growth and Income Fund #,2021-08-12,USD,1.0160
MIL Greater Bay Area Growth and Income Fund #,2021-08-13,USD,1.0160
MIL Greater Bay Area Growth and Income Fund #,2021-08-16,USD,1.0170
MIL Greater Bay Area Growth and Income Fund #,2021-08-17,USD,0.9980
MIL Greater Bay Area Growth and Income Fund #,2021-08-18,USD,1.0030
MIL Greater Bay Area Growth and Income Fund #,2021-08-19,USD,0.9960
MIL Greater Bay Area Growth and Income Fund #,2021-08-20,USD,0.9830
MIL Greater Bay Area Growth and Income Fund #,2021-08-23,USD,0.9960
MIL Greater Bay Area Growth and Income Fund #,2021-08-24,USD,1.0050
MIL Greater Bay Area Growth and Income Fund #,2021-08-25,USD,1.0080
MIL Greater Bay Area Growth and Income Fund #,2021-08-26,USD,0.9940
MIL Greater Bay Area Growth and Income Fund #,2021-08-27,USD,0.9990
MIL Greater Bay Area Growth and Income Fund #,2021-08-30,USD,0.9970
MIL Greater Bay Area Growth and Income Fund #,2021-08-31,USD,1.0000
MIL Greater Bay Area Growth and Income Fund #,2021-09-01,USD,1.0000
MIL Greater Bay Area Growth and Income Fund #,2021-09-02,USD,1.0020
MIL Greater Bay Area Growth and Income Fund #,2021-09-03,USD,0.9970
MIL Greater Bay Area Growth and Income Fund #,2021-09-06,USD,1.0020
MIL Greater Bay Area Growth and Income Fund #,2021-09-07,USD,1.0040
MIL Greater Bay Area Growth and Income Fund #,2021-09-08,USD,1.0000
MIL Greater Bay Area Growth and Income Fund #,2021-09-09,USD,0.9940
MIL Greater Bay Area Growth and Income Fund #,2021-09-10,USD,1.0050
MIL Greater Bay Area Growth and Income Fund #,2021-09-13,USD,0.9970
MIL Greater Bay Area Growth and Income Fund #,2021-09-14,USD,0.9880
MIL Greater Bay Area Growth and Income Fund #,2021-09-15,USD,0.9750
MIL Greater Bay Area Growth and Income Fund #,2021-09-16,USD,0.9560
MIL Greater Bay Area Growth and Income Fund #,2021-09-17,USD,0.9580
MIL Greater Bay Area Growth and Income Fund #,2021-09-20,USD,0.9390
MIL Greater Bay Area Growth and Income Fund #,2021-09-21,USD,0.9450
MIL Greater Bay Area Growth and Income Fund #,2021-09-23,USD,0.9580
MIL Greater Bay Area Growth and Income Fund #,2021-09-24,USD,0.9500
MIL Greater Bay Area Growth and Income Fund #,2021-09-27,USD,0.9410
MIL Greater Bay Area Growth and Income Fund #,2021-09-28,USD,0.9480
MIL Greater Bay Area Growth and Income Fund #,2021-09-29,USD,0.9460
MIL Greater Bay Area Growth and Income Fund #,2021-09-30,USD,0.9530
MIL Greater Bay Area Growth and Income Fund #,2021-10-04,USD,0.9500
MIL Greater Bay Area Growth and Income Fund #,2021-10-05,USD,0.9460
MIL Greater Bay Area Growth and Income Fund #,2021-10-06,USD,0.9390
MIL Greater Bay Area Growth and Income Fund #,2021-10-07,USD,0.9490
MIL Greater Bay Area Growth and Income Fund #,2021-10-08,USD,0.9500
MIL Greater Bay Area Growth and Income Fund #,2021-10-11,USD,0.9480
MIL Greater Bay Area Growth and Income Fund #,2021-10-12,USD,0.9410
MIL Greater Bay Area Growth and Income Fund #,2021-10-15,USD,0.9510
MIL Greater Bay Area Growth and Income Fund #,2021-10-18,USD,0.9570
MIL Greater Bay Area Growth and Income Fund #,2021-10-19,USD,0.9660
MIL Greater Bay Area Growth and Income Fund #,2021-10-20,USD,0.9670
MIL Greater Bay Area Growth and Income Fund #,2021-10-21,USD,0.9660
MIL Greater Bay Area Growth and Income Fund #,2021-10-22,USD,0.9700
MIL Greater Bay Area Growth and Income Fund #,2021-10-25,USD,0.9660
MIL Greater Bay Area Growth and Income Fund #,2021-10-26,USD,0.9610
MIL Greater Bay Area Growth and Income Fund #,2021-10-27,USD,0.9530
MIL Greater Bay Area Growth and Income Fund #,2021-10-28,USD,0.9460
MIL Greater Bay Area Growth and Income Fund #,2021-10-29,USD,0.9440
MIL Greater Bay Area Growth and Income Fund #,2021-11-01,USD,0.9360
MIL Greater Bay Area Growth and Income Fund #,2021-11-02,USD,0.9300
MIL Greater Bay Area Growth and Income Fund #,2021-11-03,USD,0.9290
MIL Greater Bay Area Growth and Income Fund #,2021-11-04,USD,0.9340
MIL Greater Bay Area Growth and Income Fund #,2021-11-05,USD,0.9260
MIL Greater Bay Area Growth and Income Fund #,2021-11-08,USD,0.9220
MIL Greater Bay Area Growth and Income Fund #,2021-11-09,USD,0.9230
MIL Greater Bay Area Growth and Income Fund #,2021-11-10,USD,0.9270
MIL Greater Bay Area Growth and Income Fund #,2021-11-11,USD,0.9390
MIL Greater Bay Area Growth and Income Fund #,2021-11-12,USD,0.9510
MIL Greater Bay Area Growth and Income Fund #,2021-11-15,USD,0.9540
MIL Greater Bay Area Growth and Income Fund #,2021-11-16,USD,0.9610
MIL Greater Bay Area Growth and Income Fund #,2021-11-17,USD,0.9620
MIL Greater Bay Area Growth and Income Fund #,2021-11-18,USD,0.9570
MIL Greater Bay Area Growth and Income Fund #,2021-11-19,USD,0.9640
MIL Greater Bay Area Growth and Income Fund #,2021-11-22,USD,0.9700
MIL Greater Bay Area Growth and Income Fund #,2021-11-23,USD,0.9650
MIL Greater Bay Area Growth and Income Fund #,2021-11-24,USD,0.9650
MIL Greater Bay Area Growth and Income Fund #,2021-11-25,USD,0.9690
MIL Greater Bay Area Growth and Income Fund #,2021-11-26,USD,0.9510
MIL Greater Bay Area Growth and Income Fund #,2021-11-29,USD,0.9490
MIL Greater Bay Area Growth and Income Fund #,2021-11-30,USD,0.9430
MIL Greater Bay Area Growth and Income Fund #,2021-12-01,USD,0.9410
MIL Greater Bay Area Growth and Income Fund #,2021-12-02,USD,0.9440
MIL Greater Bay Area Growth and Income Fund #,2021-12-03,USD,0.9470
MIL Greater Bay Area Growth and Income Fund #,2021-12-06,USD,0.9340
MIL Greater Bay Area Growth and Income Fund #,2021-12-07,USD,0.9420
MIL Greater Bay Area Growth and Income Fund #,2021-12-08,USD,0.9490
MIL Greater Bay Area Growth and Income Fund #,2021-12-09,USD,0.9570
MIL Greater Bay Area Growth and Income Fund #,2021-12-10,USD,0.9490
MIL Greater Bay Area Growth and Income Fund #,2021-12-13,USD,0.9460
MIL Greater Bay Area Growth and Income Fund #,2021-12-14,USD,0.9310
