Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL U.S. Bank Equity Fund ,2018/04/16,USD,1.0000,1.0000
MIL U.S. Bank Equity Fund ,2018/04/17,USD,1.0000,1.0000
MIL U.S. Bank Equity Fund ,2018/04/18,USD,1.0000,1.0000
MIL U.S. Bank Equity Fund ,2018/04/19,USD,0.9970,0.9970
MIL U.S. Bank Equity Fund ,2018/04/20,USD,1.0100,1.0100
MIL U.S. Bank Equity Fund ,2018/04/23,USD,1.0130,1.0130
MIL U.S. Bank Equity Fund ,2018/04/24,USD,1.0240,1.0240
MIL U.S. Bank Equity Fund ,2018/04/25,USD,1.0150,1.0150
MIL U.S. Bank Equity Fund ,2018/04/26,USD,1.0150,1.0150
MIL U.S. Bank Equity Fund ,2018/04/27,USD,1.0180,1.0180
MIL U.S. Bank Equity Fund ,2018/04/30,USD,1.0170,1.0170
MIL U.S. Bank Equity Fund ,2018/05/02,USD,1.0020,1.0020
MIL U.S. Bank Equity Fund ,2018/05/03,USD,1.0010,1.0010


