Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL U.S. Bank Equity Fund,,,,
MIL U.S. Bank Equity Fund,2018/04/16,USD,1.0000,1.0000
MIL U.S. Bank Equity Fund,2018/04/17,USD,1.0000,1.0000
MIL U.S. Bank Equity Fund,2018/04/18,USD,1.0000,1.0000
MIL U.S. Bank Equity Fund,2018/04/19,USD,0.9970,0.9970
MIL U.S. Bank Equity Fund,2018/04/20,USD,1.0100,1.0100
MIL U.S. Bank Equity Fund,2018/04/23,USD,1.0130,1.0130
MIL U.S. Bank Equity Fund,2018/04/24,USD,1.0240,1.0240
MIL U.S. Bank Equity Fund,2018/04/25,USD,1.0150,1.0150
MIL U.S. Bank Equity Fund,2018/04/26,USD,1.0150,1.0150
MIL U.S. Bank Equity Fund,2018/04/27,USD,1.0180,1.0180
MIL U.S. Bank Equity Fund,2018/04/30,USD,1.0170,1.0170
MIL U.S. Bank Equity Fund,2018/05/02,USD,1.0020,1.0020
MIL U.S. Bank Equity Fund,2018/05/03,USD,1.0010,1.0010
MIL U.S. Bank Equity Fund,2018/05/04,USD,0.9930,0.9930
MIL U.S. Bank Equity Fund,2018/05/07,USD,1.0050,1.0050
MIL U.S. Bank Equity Fund,2018/05/08,USD,1.0160,1.0160
MIL U.S. Bank Equity Fund,2018/05/09,USD,1.0210,1.0210
MIL U.S. Bank Equity Fund,2018/05/10,USD,1.0250,1.0250
MIL U.S. Bank Equity Fund,2018/05/11,USD,1.0350,1.0350
MIL U.S. Bank Equity Fund,2018/05/14,USD,1.0340,1.0340
MIL U.S. Bank Equity Fund,2018/05/15,USD,1.0340,1.0340
MIL U.S. Bank Equity Fund,2018/05/16,USD,1.0330,1.0330
MIL U.S. Bank Equity Fund,2018/05/17,USD,1.0360,1.0360
MIL U.S. Bank Equity Fund,2018/05/18,USD,1.0390,1.0390
MIL U.S. Bank Equity Fund,2018/05/21,USD,1.0400,1.0400
MIL U.S. Bank Equity Fund,2018/05/23,USD,1.0420,1.0420
MIL U.S. Bank Equity Fund,2018/05/24,USD,1.0350,1.0350
MIL U.S. Bank Equity Fund,2018/05/25,USD,1.0360,1.0360
MIL U.S. Bank Equity Fund,2018/05/28,USD,1.0360,1.0360
MIL U.S. Bank Equity Fund,2018/05/29,USD,1.0290,1.0290
MIL U.S. Bank Equity Fund,2018/05/30,USD,1.0230,1.0230
MIL U.S. Bank Equity Fund,2018/05/31,USD,1.0260,1.0260
MIL U.S. Bank Equity Fund,2018/06/01,USD,1.0390,1.0390
MIL U.S. Bank Equity Fund,2018/06/04,USD,1.0390,1.0390
MIL U.S. Bank Equity Fund,2018/06/05,USD,1.0410,1.0410
MIL U.S. Bank Equity Fund,2018/06/06,USD,1.0480,1.0480
MIL U.S. Bank Equity Fund,2018/06/07,USD,1.0630,1.0630
MIL U.S. Bank Equity Fund,2018/06/08,USD,1.0570,1.0570
MIL U.S. Bank Equity Fund,2018/06/11,USD,1.0620,1.0620
MIL U.S. Bank Equity Fund,2018/06/12,USD,1.0520,1.0520
MIL U.S. Bank Equity Fund,2018/06/13,USD,1.0430,1.0430
MIL U.S. Bank Equity Fund,2018/06/14,USD,1.0390,1.0390
