Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Pictet Global Thematic Opportunities Fund +,2022/02/10,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/11,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/14,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/15,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/16,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/17,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/18,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/21,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/22,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/23,USD,1.0000,1.0000
MIL Pictet Global Thematic Opportunities Fund +,2022/02/24,USD,0.9580,0.9580
MIL Pictet Global Thematic Opportunities Fund +,2022/02/25,USD,0.9920,0.9920
