Investment choice name,Date,Currency,NAV / unit
MIL Pictet Global Thematic Opportunities Fund,2022-02-10,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-11,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-14,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-15,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-16,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-17,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-18,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-21,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-22,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-23,USD,1.0000
MIL Pictet Global Thematic Opportunities Fund,2022-02-24,USD,0.9580
MIL Pictet Global Thematic Opportunities Fund,2022-02-25,USD,0.9920
MIL Pictet Global Thematic Opportunities Fund,2022-02-28,USD,1.0050
MIL Pictet Global Thematic Opportunities Fund,2022-03-01,USD,1.0030
MIL Pictet Global Thematic Opportunities Fund,2022-03-02,USD,1.0010
MIL Pictet Global Thematic Opportunities Fund,2022-03-03,USD,1.0090
MIL Pictet Global Thematic Opportunities Fund,2022-03-04,USD,0.9760
MIL Pictet Global Thematic Opportunities Fund,2022-03-07,USD,0.9570
MIL Pictet Global Thematic Opportunities Fund,2022-03-08,USD,0.9510
MIL Pictet Global Thematic Opportunities Fund,2022-03-09,USD,0.9570
MIL Pictet Global Thematic Opportunities Fund,2022-03-10,USD,0.9540
MIL Pictet Global Thematic Opportunities Fund,2022-03-11,USD,0.9570
MIL Pictet Global Thematic Opportunities Fund,2022-03-14,USD,0.9540
MIL Pictet Global Thematic Opportunities Fund,2022-03-15,USD,0.9500
MIL Pictet Global Thematic Opportunities Fund,2022-03-16,USD,0.9720
MIL Pictet Global Thematic Opportunities Fund,2022-03-17,USD,0.9760
MIL Pictet Global Thematic Opportunities Fund,2022-03-18,USD,0.9900
MIL Pictet Global Thematic Opportunities Fund,2022-03-21,USD,0.9900
MIL Pictet Global Thematic Opportunities Fund,2022-03-22,USD,1.0030
MIL Pictet Global Thematic Opportunities Fund,2022-03-23,USD,0.9890
MIL Pictet Global Thematic Opportunities Fund,2022-03-24,USD,0.9800
MIL Pictet Global Thematic Opportunities Fund,2022-03-25,USD,0.9890
MIL Pictet Global Thematic Opportunities Fund,2022-03-28,USD,0.9920
MIL Pictet Global Thematic Opportunities Fund,2022-03-29,USD,1.0150
MIL Pictet Global Thematic Opportunities Fund,2022-03-30,USD,1.0120
MIL Pictet Global Thematic Opportunities Fund,2022-03-31,USD,0.9990
MIL Pictet Global Thematic Opportunities Fund,2022-04-01,USD,0.9900
MIL Pictet Global Thematic Opportunities Fund,2022-04-04,USD,0.9960
MIL Pictet Global Thematic Opportunities Fund,2022-04-06,USD,0.9630
MIL Pictet Global Thematic Opportunities Fund,2022-04-07,USD,0.9670
MIL Pictet Global Thematic Opportunities Fund,2022-04-08,USD,0.9620
MIL Pictet Global Thematic Opportunities Fund,2022-04-11,USD,0.9580
MIL Pictet Global Thematic Opportunities Fund,2022-04-12,USD,0.9580
MIL Pictet Global Thematic Opportunities Fund,2022-04-13,USD,0.9430
MIL Pictet Global Thematic Opportunities Fund,2022-04-14,USD,0.9440
MIL Pictet Global Thematic Opportunities Fund,2022-04-19,USD,0.9410
MIL Pictet Global Thematic Opportunities Fund,2022-04-20,USD,0.9570
MIL Pictet Global Thematic Opportunities Fund,2022-04-21,USD,0.9620
