Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL STARS Income and Growth Fund #,,,,
MIL STARS Income and Growth Fund #,2020/09/07,USD,1.0000,1.0000
MIL STARS Income and Growth Fund #,2020/09/08,USD,1.0000,1.0000
MIL STARS Income and Growth Fund #,2020/09/09,USD,1.0000,1.0000
MIL STARS Income and Growth Fund #,2020/09/10,USD,1.0000,1.0000
MIL STARS Income and Growth Fund #,2020/09/11,USD,1.0000,1.0000
MIL STARS Income and Growth Fund #,2020/09/14,USD,1.0000,1.0000
MIL STARS Income and Growth Fund #,2020/09/15,USD,1.0050,1.0050
MIL STARS Income and Growth Fund #,2020/09/16,USD,1.0060,1.0060
MIL STARS Income and Growth Fund #,2020/09/17,USD,1.0020,1.0020
MIL STARS Income and Growth Fund #,2020/09/18,USD,1.0030,1.0030
MIL STARS Income and Growth Fund #,2020/09/21,USD,0.9960,0.9960
MIL STARS Income and Growth Fund #,2020/09/22,USD,0.9950,0.9950
MIL STARS Income and Growth Fund #,2020/09/23,USD,0.9950,0.9950
MIL STARS Income and Growth Fund #,2020/09/24,USD,0.9870,0.9870
MIL STARS Income and Growth Fund #,2020/09/25,USD,0.9880,0.9880
MIL STARS Income and Growth Fund #,2020/09/28,USD,0.9930,0.9930
MIL STARS Income and Growth Fund #,2020/09/29,USD,0.9940,0.9940
MIL STARS Income and Growth Fund #,2020/09/30,USD,0.9960,0.9960
MIL STARS Income and Growth Fund #,2020/10/05,USD,1.0030,1.0030
MIL STARS Income and Growth Fund #,2020/10/06,USD,1.0060,1.0060
MIL STARS Income and Growth Fund #,2020/10/07,USD,1.0110,1.0110
MIL STARS Income and Growth Fund #,2020/10/08,USD,1.0140,1.0140
MIL STARS Income and Growth Fund #,2020/10/09,USD,1.0170,1.0170
MIL STARS Income and Growth Fund #,2020/10/12,USD,1.0210,1.0210
MIL STARS Income and Growth Fund #,2020/10/14,USD,1.0230,1.0230
MIL STARS Income and Growth Fund #,2020/10/15,USD,1.0150,1.0150
MIL STARS Income and Growth Fund #,2020/10/16,USD,1.0180,1.0180
MIL STARS Income and Growth Fund #,2020/10/19,USD,1.0190,1.0190
MIL STARS Income and Growth Fund #,2020/10/20,USD,1.0200,1.0200
MIL STARS Income and Growth Fund #,2020/10/21,USD,1.0220,1.0220
MIL STARS Income and Growth Fund #,2020/10/22,USD,1.0190,1.0190
MIL STARS Income and Growth Fund #,2020/10/23,USD,1.0200,1.0200
MIL STARS Income and Growth Fund #,2020/10/27,USD,1.0180,1.0180
MIL STARS Income and Growth Fund #,2020/10/28,USD,1.0100,1.0100
MIL STARS Income and Growth Fund #,2020/10/29,USD,1.0090,1.0090
MIL STARS Income and Growth Fund #,2020/10/30,USD,1.0010,1.0010
MIL STARS Income and Growth Fund #,2020/11/02,USD,1.0040,1.0040
MIL STARS Income and Growth Fund #,2020/11/03,USD,1.0120,1.0120
MIL STARS Income and Growth Fund #,2020/11/04,USD,1.0190,1.0190
MIL STARS Income and Growth Fund #,2020/11/05,USD,1.0380,1.0380
MIL STARS Income and Growth Fund #,2020/11/06,USD,1.0370,1.0370
MIL STARS Income and Growth Fund #,2020/11/09,USD,1.0490,1.0490
MIL STARS Income and Growth Fund #,2020/11/10,USD,1.0390,1.0390
MIL STARS Income and Growth Fund #,2020/11/11,USD,1.0360,1.0360
MIL STARS Income and Growth Fund #,2020/11/12,USD,1.0390,1.0390
MIL STARS Income and Growth Fund #,2020/11/13,USD,1.0420,1.0420
MIL STARS Income and Growth Fund #,2020/11/16,USD,1.0490,1.0490
MIL STARS Income and Growth Fund #,2020/11/17,USD,1.0480,1.0480
MIL STARS Income and Growth Fund #,2020/11/18,USD,1.0510,1.0510
MIL STARS Income and Growth Fund #,2020/11/19,USD,1.0510,1.0510
MIL STARS Income and Growth Fund #,2020/11/20,USD,1.0520,1.0520
MIL STARS Income and Growth Fund #,2020/11/23,USD,1.0560,1.0560
MIL STARS Income and Growth Fund #,2020/11/24,USD,1.0580,1.0580
MIL STARS Income and Growth Fund #,2020/11/25,USD,1.0550,1.0550
MIL STARS Income and Growth Fund #,2020/11/26,USD,1.0570,1.0570
MIL STARS Income and Growth Fund #,2020/11/27,USD,1.0590,1.0590
MIL STARS Income and Growth Fund #,2020/11/30,USD,1.0540,1.0540
MIL STARS Income and Growth Fund #,2020/12/01,USD,1.0570,1.0570
MIL STARS Income and Growth Fund #,2020/12/02,USD,1.0570,1.0570
MIL STARS Income and Growth Fund #,2020/12/03,USD,1.0610,1.0610
MIL STARS Income and Growth Fund #,2020/12/04,USD,1.0670,1.0670
MIL STARS Income and Growth Fund #,2020/12/07,USD,1.0660,1.0660
MIL STARS Income and Growth Fund #,2020/12/08,USD,1.0650,1.0650
MIL STARS Income and Growth Fund #,2020/12/09,USD,1.0670,1.0670
MIL STARS Income and Growth Fund #,2020/12/10,USD,1.0640,1.0640
MIL STARS Income and Growth Fund #,2020/12/11,USD,1.0650,1.0650
MIL STARS Income and Growth Fund #,2020/12/14,USD,1.0660,1.0660
MIL STARS Income and Growth Fund #,2020/12/15,USD,1.0640,1.0640
MIL STARS Income and Growth Fund #,2020/12/16,USD,1.0700,1.0700
MIL STARS Income and Growth Fund #,2020/12/17,USD,1.0740,1.0740
MIL STARS Income and Growth Fund #,2020/12/18,USD,1.0740,1.0740
MIL STARS Income and Growth Fund #,2020/12/21,USD,1.0660,1.0660
MIL STARS Income and Growth Fund #,2020/12/22,USD,1.0650,1.0650
MIL STARS Income and Growth Fund #,2020/12/23,USD,1.0690,1.0690
MIL STARS Income and Growth Fund #,2020/12/24,USD,1.0690,1.0690
MIL STARS Income and Growth Fund #,2020/12/28,USD,1.0680,1.0680
MIL STARS Income and Growth Fund #,2020/12/29,USD,1.0720,1.0720
MIL STARS Income and Growth Fund #,2020/12/30,USD,1.0800,1.0800
MIL STARS Income and Growth Fund #,2020/12/31,USD,1.0820,1.0820
MIL STARS Income and Growth Fund #,2021/01/04,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/01/05,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/01/06,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/01/07,USD,1.0910,1.0910
MIL STARS Income and Growth Fund #,2021/01/08,USD,1.1000,1.1000
MIL STARS Income and Growth Fund #,2021/01/11,USD,1.0990,1.0990
MIL STARS Income and Growth Fund #,2021/01/12,USD,1.1000,1.1000
MIL STARS Income and Growth Fund #,2021/01/13,USD,1.1020,1.1020
MIL STARS Income and Growth Fund #,2021/01/14,USD,1.1070,1.1070
MIL STARS Income and Growth Fund #,2021/01/15,USD,1.1050,1.1050
MIL STARS Income and Growth Fund #,2021/01/18,USD,1.1070,1.1070
MIL STARS Income and Growth Fund #,2021/01/19,USD,1.1140,1.1140
MIL STARS Income and Growth Fund #,2021/01/20,USD,1.1230,1.1230
MIL STARS Income and Growth Fund #,2021/01/21,USD,1.1250,1.1250
MIL STARS Income and Growth Fund # +,2021/01/22,USD,1.1190,1.1190
MIL STARS Income and Growth Fund # +,2021/01/25,USD,1.1260,1.1260
MIL STARS Income and Growth Fund # +,2021/01/26,USD,1.1180,1.1180
MIL STARS Income and Growth Fund # +,2021/01/27,USD,1.1100,1.1100
MIL STARS Income and Growth Fund # +,2021/01/28,USD,1.1020,1.1020
MIL STARS Income and Growth Fund # +,2021/01/29,USD,1.0990,1.0990
MIL STARS Income and Growth Fund # +,2021/02/01,USD,1.1060,1.1060
MIL STARS Income and Growth Fund # +,2021/02/02,USD,1.1160,1.1160
MIL STARS Income and Growth Fund # +,2021/02/03,USD,1.1200,1.1200
MIL STARS Income and Growth Fund # +,2021/02/04,USD,1.1180,1.1180
MIL STARS Income and Growth Fund # +,2021/02/05,USD,1.1210,1.1210
MIL STARS Income and Growth Fund #,2021/02/08,USD,1.1240,1.1240
MIL STARS Income and Growth Fund #,2021/02/09,USD,1.1260,1.1260
MIL STARS Income and Growth Fund #,2021/02/10,USD,1.1320,1.1320
MIL STARS Income and Growth Fund #,2021/02/11,USD,1.1330,1.1330
MIL STARS Income and Growth Fund #,2021/02/16,USD,1.1370,1.1370
MIL STARS Income and Growth Fund #,2021/02/17,USD,1.1360,1.1360
MIL STARS Income and Growth Fund #,2021/02/18,USD,1.1290,1.1290
MIL STARS Income and Growth Fund #,2021/02/19,USD,1.1300,1.1300
MIL STARS Income and Growth Fund #,2021/02/22,USD,1.1200,1.1200
MIL STARS Income and Growth Fund #,2021/02/23,USD,1.1150,1.1150
MIL STARS Income and Growth Fund #,2021/02/24,USD,1.1100,1.1100
MIL STARS Income and Growth Fund #,2021/02/25,USD,1.1130,1.1130
MIL STARS Income and Growth Fund #,2021/02/26,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/03/01,USD,1.1030,1.1030
MIL STARS Income and Growth Fund #,2021/03/02,USD,1.1040,1.1040
MIL STARS Income and Growth Fund #,2021/03/03,USD,1.1060,1.1060
MIL STARS Income and Growth Fund #,2021/03/04,USD,1.0960,1.0960
MIL STARS Income and Growth Fund #,2021/03/05,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/03/08,USD,1.0810,1.0810
MIL STARS Income and Growth Fund #,2021/03/09,USD,1.0830,1.0830
MIL STARS Income and Growth Fund #,2021/03/10,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/03/11,USD,1.0970,1.0970
MIL STARS Income and Growth Fund #,2021/03/12,USD,1.0940,1.0940
MIL STARS Income and Growth Fund #,2021/03/15,USD,1.0910,1.0910
MIL STARS Income and Growth Fund #,2021/03/16,USD,1.0960,1.0960
MIL STARS Income and Growth Fund #,2021/03/17,USD,1.0920,1.0920
MIL STARS Income and Growth Fund #,2021/03/18,USD,1.0930,1.0930
MIL STARS Income and Growth Fund #,2021/03/19,USD,1.0890,1.0890
MIL STARS Income and Growth Fund #,2021/03/22,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/03/23,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/03/24,USD,1.0810,1.0810
MIL STARS Income and Growth Fund #,2021/03/25,USD,1.0770,1.0770
MIL STARS Income and Growth Fund #,2021/03/26,USD,1.0830,1.0830
MIL STARS Income and Growth Fund #,2021/03/29,USD,1.0820,1.0820
MIL STARS Income and Growth Fund #,2021/03/30,USD,1.0840,1.0840
MIL STARS Income and Growth Fund #,2021/03/31,USD,1.0830,1.0830
MIL STARS Income and Growth Fund #,2021/04/01,USD,1.0910,1.0910
MIL STARS Income and Growth Fund #,2021/04/07,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/04/08,USD,1.0960,1.0960
MIL STARS Income and Growth Fund #,2021/04/09,USD,1.0940,1.0940
MIL STARS Income and Growth Fund #,2021/04/12,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/04/13,USD,1.0910,1.0910
MIL STARS Income and Growth Fund #,2021/04/14,USD,1.0960,1.0960
MIL STARS Income and Growth Fund #,2021/04/15,USD,1.0980,1.0980
MIL STARS Income and Growth Fund #,2021/04/16,USD,1.1010,1.1010
MIL STARS Income and Growth Fund #,2021/04/19,USD,1.1020,1.1020
MIL STARS Income and Growth Fund #,2021/04/20,USD,1.0990,1.0990
MIL STARS Income and Growth Fund #,2021/04/21,USD,1.0960,1.0960
MIL STARS Income and Growth Fund #,2021/04/22,USD,1.0980,1.0980
MIL STARS Income and Growth Fund #,2021/04/23,USD,1.1020,1.1020
MIL STARS Income and Growth Fund #,2021/04/26,USD,1.1040,1.1040
MIL STARS Income and Growth Fund #,2021/04/27,USD,1.1040,1.1040
MIL STARS Income and Growth Fund #,2021/04/28,USD,1.1050,1.1050
MIL STARS Income and Growth Fund #,2021/04/29,USD,1.1070,1.1070
MIL STARS Income and Growth Fund #,2021/04/30,USD,1.1010,1.1010
MIL STARS Income and Growth Fund #,2021/05/03,USD,1.0980,1.0980
MIL STARS Income and Growth Fund #,2021/05/04,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/05/05,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/05/06,USD,1.0970,1.0970
MIL STARS Income and Growth Fund #,2021/05/07,USD,1.1000,1.1000
MIL STARS Income and Growth Fund #,2021/05/10,USD,1.0990,1.0990
MIL STARS Income and Growth Fund #,2021/05/11,USD,1.0880,1.0880
MIL STARS Income and Growth Fund #,2021/05/12,USD,1.0850,1.0850
MIL STARS Income and Growth Fund #,2021/05/13,USD,1.0820,1.0820
MIL STARS Income and Growth Fund #,2021/05/14,USD,1.0830,1.0830
MIL STARS Income and Growth Fund #,2021/05/17,USD,1.0840,1.0840
MIL STARS Income and Growth Fund #,2021/05/18,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/05/20,USD,1.0890,1.0890
MIL STARS Income and Growth Fund #,2021/05/21,USD,1.0920,1.0920
MIL STARS Income and Growth Fund #,2021/05/24,USD,1.0920,1.0920
MIL STARS Income and Growth Fund #,2021/05/25,USD,1.0970,1.0970
MIL STARS Income and Growth Fund #,2021/05/26,USD,1.0990,1.0990
MIL STARS Income and Growth Fund #,2021/05/27,USD,1.1000,1.1000
MIL STARS Income and Growth Fund #,2021/05/28,USD,1.1020,1.1020
MIL STARS Income and Growth Fund #,2021/05/31,USD,1.1050,1.1050
MIL STARS Income and Growth Fund #,2021/06/01,USD,1.1080,1.1080
MIL STARS Income and Growth Fund #,2021/06/02,USD,1.1090,1.1090
MIL STARS Income and Growth Fund #,2021/06/03,USD,1.1050,1.1050
MIL STARS Income and Growth Fund #,2021/06/04,USD,1.1070,1.1070
MIL STARS Income and Growth Fund #,2021/06/07,USD,1.1080,1.1080
MIL STARS Income and Growth Fund #,2021/06/08,USD,1.1070,1.1070
MIL STARS Income and Growth Fund #,2021/06/09,USD,1.1070,1.1070
MIL STARS Income and Growth Fund #,2021/06/10,USD,1.1090,1.1090
MIL STARS Income and Growth Fund #,2021/06/11,USD,1.1100,1.1100
MIL STARS Income and Growth Fund #,2021/06/15,USD,1.1080,1.1080
MIL STARS Income and Growth Fund #,2021/06/16,USD,1.1050,1.1050
MIL STARS Income and Growth Fund #,2021/06/17,USD,1.1010,1.1010
MIL STARS Income and Growth Fund #,2021/06/18,USD,1.0990,1.0990
MIL STARS Income and Growth Fund #,2021/06/21,USD,1.0980,1.0980
MIL STARS Income and Growth Fund #,2021/06/22,USD,1.0980,1.0980
MIL STARS Income and Growth Fund #,2021/06/23,USD,1.1010,1.1010
MIL STARS Income and Growth Fund #,2021/06/24,USD,1.1060,1.1060
MIL STARS Income and Growth Fund #,2021/06/25,USD,1.1110,1.1110
MIL STARS Income and Growth Fund #,2021/06/28,USD,1.1100,1.1100
MIL STARS Income and Growth Fund #,2021/06/29,USD,1.1080,1.1080
MIL STARS Income and Growth Fund #,2021/06/30,USD,1.1080,1.1080
MIL STARS Income and Growth Fund #,2021/07/02,USD,1.1050,1.1050
MIL STARS Income and Growth Fund #,2021/07/05,USD,1.1040,1.1040
MIL STARS Income and Growth Fund #,2021/07/06,USD,1.1040,1.1040
MIL STARS Income and Growth Fund #,2021/07/07,USD,1.1040,1.1040
MIL STARS Income and Growth Fund #,2021/07/08,USD,1.0940,1.0940
MIL STARS Income and Growth Fund #,2021/07/09,USD,1.0970,1.0970
MIL STARS Income and Growth Fund #,2021/07/12,USD,1.1010,1.1010
MIL STARS Income and Growth Fund #,2021/07/13,USD,1.1030,1.1030
MIL STARS Income and Growth Fund #,2021/07/14,USD,1.1030,1.1030
MIL STARS Income and Growth Fund #,2021/07/15,USD,1.1040,1.1040
MIL STARS Income and Growth Fund #,2021/07/16,USD,1.1010,1.1010
MIL STARS Income and Growth Fund #,2021/07/19,USD,1.0910,1.0910
MIL STARS Income and Growth Fund #,2021/07/20,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/07/21,USD,1.0940,1.0940
MIL STARS Income and Growth Fund #,2021/07/22,USD,1.0980,1.0980
MIL STARS Income and Growth Fund #,2021/07/23,USD,1.0960,1.0960
MIL STARS Income and Growth Fund #,2021/07/26,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/07/27,USD,1.0780,1.0780
MIL STARS Income and Growth Fund #,2021/07/28,USD,1.0810,1.0810
MIL STARS Income and Growth Fund #,2021/07/29,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/07/30,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/08/02,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/08/03,USD,1.0920,1.0920
MIL STARS Income and Growth Fund #,2021/08/04,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/08/05,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/08/06,USD,1.0930,1.0930
MIL STARS Income and Growth Fund #,2021/08/09,USD,1.0930,1.0930
MIL STARS Income and Growth Fund #,2021/08/10,USD,1.0940,1.0940
MIL STARS Income and Growth Fund #,2021/08/11,USD,1.0940,1.0940
MIL STARS Income and Growth Fund #,2021/08/12,USD,1.0920,1.0920
MIL STARS Income and Growth Fund #,2021/08/13,USD,1.0900,1.0900
MIL STARS Income and Growth Fund #,2021/08/16,USD,1.0880,1.0880
MIL STARS Income and Growth Fund #,2021/08/17,USD,1.0820,1.0820
MIL STARS Income and Growth Fund #,2021/08/18,USD,1.0830,1.0830
MIL STARS Income and Growth Fund #,2021/08/19,USD,1.0750,1.0750
MIL STARS Income and Growth Fund #,2021/08/20,USD,1.0720,1.0720
MIL STARS Income and Growth Fund #,2021/08/23,USD,1.0780,1.0780
MIL STARS Income and Growth Fund #,2021/08/24,USD,1.0850,1.0850
MIL STARS Income and Growth Fund #,2021/08/25,USD,1.0880,1.0880
MIL STARS Income and Growth Fund #,2021/08/26,USD,1.0850,1.0850
MIL STARS Income and Growth Fund #,2021/08/27,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/08/30,USD,1.0910,1.0910
MIL STARS Income and Growth Fund #,2021/08/31,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/09/01,USD,1.0980,1.0980
MIL STARS Income and Growth Fund #,2021/09/02,USD,1.1010,1.1010
MIL STARS Income and Growth Fund #,2021/09/03,USD,1.1000,1.1000
MIL STARS Income and Growth Fund #,2021/09/06,USD,1.1030,1.1030
MIL STARS Income and Growth Fund #,2021/09/07,USD,1.1020,1.1020
MIL STARS Income and Growth Fund #,2021/09/08,USD,1.1000,1.1000
MIL STARS Income and Growth Fund #,2021/09/09,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/09/10,USD,1.0970,1.0970
MIL STARS Income and Growth Fund #,2021/09/13,USD,1.0950,1.0950
MIL STARS Income and Growth Fund #,2021/09/14,USD,1.0930,1.0930
MIL STARS Income and Growth Fund #,2021/09/15,USD,1.0910,1.0910
MIL STARS Income and Growth Fund #,2021/09/16,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/09/17,USD,1.0870,1.0870
MIL STARS Income and Growth Fund #,2021/09/20,USD,1.0750,1.0750
MIL STARS Income and Growth Fund #,2021/09/21,USD,1.0760,1.0760
MIL STARS Income and Growth Fund #,2021/09/23,USD,1.0840,1.0840
MIL STARS Income and Growth Fund #,2021/09/24,USD,1.0800,1.0800
MIL STARS Income and Growth Fund #,2021/09/27,USD,1.0790,1.0790
MIL STARS Income and Growth Fund #,2021/09/28,USD,1.0740,1.0740
MIL STARS Income and Growth Fund #,2021/09/29,USD,1.0710,1.0710
MIL STARS Income and Growth Fund #,2021/09/30,USD,1.0690,1.0690
MIL STARS Income and Growth Fund #,2021/10/04,USD,1.0650,1.0650
MIL STARS Income and Growth Fund #,2021/10/05,USD,1.0630,1.0630
MIL STARS Income and Growth Fund #,2021/10/06,USD,1.0590,1.0590
MIL STARS Income and Growth Fund #,2021/10/07,USD,1.0680,1.0680
